Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Upper bound value,Lower bound value,Value
2012,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",35.7,32.5,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,34.1
2013,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",34.6,31.3,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,32.9
2014,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",33.6,30,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,31.8
2015,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",32.8,28.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,30.7
2016,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",32.4,27.5,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,29.9
2017,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",32.1,26.6,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,29.3
2018,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",32.1,25.8,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,28.8
2019,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",32,25,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,28.4
2020,0,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",31.9,24.2,27.9
2000,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2210.4,1961.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2085.0
2001,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2237.1,1991.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2113.3
2002,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2262,2017.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2138.7
2003,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2286,2039.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2161.9
2004,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2309.6,2059.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2183.6
2005,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2333.5,2079.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2205.1
2006,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2360.8,2103.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2230.8
2007,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2375.1,2119.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2246.2
2008,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2378.5,2131.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2253.7
2009,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2375.6,2140.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2256.9
2010,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2368.8,2147.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2257.0
2011,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2355.7,2144.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2249.1
2012,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2343,2133.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2236.8
2013,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2319.2,2096.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2206.5
2014,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2305.7,2054.4,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2178.1
2015,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2307.7,2013.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2157.7
2016,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2328.9,1980.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2150.8
2017,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2368.3,1958.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2157.7
2018,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2419.3,1943.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2173.6
2019,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",2461.6,1919.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2180.2
2020,3,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",2488.3,1883.3,2172.9
