Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Observation-level footnotes,Source details,Value
2013,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2014,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2015,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2016,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2017,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2018,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2019,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2020,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2021,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2022,,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],,ITPGRFA Secretariat ,1
2012,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,91
2013,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,123
2014,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,162
2015,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,190
2016,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,214
2017,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,276
2018,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,337
2019,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,366
2020,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,384
2021,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,385
2022,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,385
