Year,SDG Series,Degree of urbanisation,Value
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,28
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,30
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,31
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,33
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,34
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,36
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,36
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,36
2000,Proportion of population using safely managed sanitation services [6.2.1],Rural,13
2001,Proportion of population using safely managed sanitation services [6.2.1],Rural,13
2002,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2003,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2004,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2005,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2006,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2007,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2008,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2009,Proportion of population using safely managed sanitation services [6.2.1],Rural,14
2010,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2011,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2012,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2013,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2014,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2015,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2016,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2017,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2018,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2019,Proportion of population using safely managed sanitation services [6.2.1],Rural,15
2020,Proportion of population using safely managed sanitation services [6.2.1],Rural,16
