Year,SDG Series,Value
2007,Non-performing loans net of provisions to capital (%) [10.5.1],7.37998
2008,Non-performing loans net of provisions to capital (%) [10.5.1],1.6699
2009,Non-performing loans net of provisions to capital (%) [10.5.1],6.1991
2010,Non-performing loans net of provisions to capital (%) [10.5.1],2.75509
2011,Non-performing loans net of provisions to capital (%) [10.5.1],4.01024
2012,Non-performing loans net of provisions to capital (%) [10.5.1],7.76481
2013,Non-performing loans net of provisions to capital (%) [10.5.1],7.03416
2014,Non-performing loans net of provisions to capital (%) [10.5.1],6.92282
2015,Non-performing loans net of provisions to capital (%) [10.5.1],10.46772
2016,Non-performing loans net of provisions to capital (%) [10.5.1],15.0312
2017,Non-performing loans net of provisions to capital (%) [10.5.1],7.35292
2018,Non-performing loans net of provisions to capital (%) [10.5.1],4.74741
2019,Non-performing loans net of provisions to capital (%) [10.5.1],8.10148
2020,Non-performing loans net of provisions to capital (%) [10.5.1],8.55367
2005,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.75214
2006,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.38263
2007,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.66389
2008,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],19.07514
2009,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.66532
2010,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.53148
2011,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.92334
2012,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.78548
2013,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],19.10731
2014,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],19.68285
2015,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.58007
2016,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.30686
2017,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],20.92684
2018,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],19.75623
2019,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],19.34686
2020,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],20.55033
2005,Liquid assets to short term liabilities (%) [10.5.1],57.64961
2006,Liquid assets to short term liabilities (%) [10.5.1],47.05924
2007,Liquid assets to short term liabilities (%) [10.5.1],42.42385
2008,Liquid assets to short term liabilities (%) [10.5.1],45.93172
2009,Liquid assets to short term liabilities (%) [10.5.1],46.02749
2010,Liquid assets to short term liabilities (%) [10.5.1],44.86061
2011,Liquid assets to short term liabilities (%) [10.5.1],40.7405
2012,Liquid assets to short term liabilities (%) [10.5.1],44.97553
2013,Liquid assets to short term liabilities (%) [10.5.1],46.72787
2014,Liquid assets to short term liabilities (%) [10.5.1],47.38395
2015,Liquid assets to short term liabilities (%) [10.5.1],50.02564
2016,Liquid assets to short term liabilities (%) [10.5.1],66.77032
2017,Liquid assets to short term liabilities (%) [10.5.1],55.40778
2018,Liquid assets to short term liabilities (%) [10.5.1],46.25363
2019,Liquid assets to short term liabilities (%) [10.5.1],49.03022
2020,Liquid assets to short term liabilities (%) [10.5.1],51.00726
2005,Net open position in foreign exchange to capital (%) [10.5.1],-2.43973
2006,Net open position in foreign exchange to capital (%) [10.5.1],-6.75108
2007,Net open position in foreign exchange to capital (%) [10.5.1],-7.7053
2008,Net open position in foreign exchange to capital (%) [10.5.1],-1.28273
2009,Net open position in foreign exchange to capital (%) [10.5.1],-0.61989
2010,Net open position in foreign exchange to capital (%) [10.5.1],-1.35515
2011,Net open position in foreign exchange to capital (%) [10.5.1],-3.18987
2012,Net open position in foreign exchange to capital (%) [10.5.1],-0.49306
2013,Net open position in foreign exchange to capital (%) [10.5.1],-2.73168
2014,Net open position in foreign exchange to capital (%) [10.5.1],-6.0788
2015,Net open position in foreign exchange to capital (%) [10.5.1],-5.25294
2016,Net open position in foreign exchange to capital (%) [10.5.1],-7.43632
2017,Net open position in foreign exchange to capital (%) [10.5.1],-4.89448
2018,Net open position in foreign exchange to capital (%) [10.5.1],-6.89904
2019,Net open position in foreign exchange to capital (%) [10.5.1],-4.31856
2020,Net open position in foreign exchange to capital (%) [10.5.1],-5.55244
