Year,NATURE,SOURCE_DETAIL,SDG Series,Observation-level footnotes,COMMENT_OBS,Value
2015,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",December,60.0
2016,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",December,64.0
2017,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",December,65.0
2018,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",,69.63
2019,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",,74.0
2020,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ","UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",85.0
2012,E,ITU estimate.,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",,4.0
2013,E,ITU estimate.,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",,7.69
2014,E,ITU estimate,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",ITU estimate,15.0
2015,C,Uganda Communications Commission,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",December,10.0
2016,C,Uganda Communications Commission,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",December,15.0
2017,C,Uganda Communications Commission,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",December,17.0
2019,E,ITU estimate.,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",,40.0
2020,C,Uganda Communications Commission,Proportion of population covered by at least a 4G mobile network [9.c.1],"UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.","UCC revalidated and updated its coverage maps on the 4G mobile networks, which is why the coverage figure changed compared to the formerly reported figures.",31.0
