Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.07312
2020,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.1281
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.01719
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.03886
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.09548
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.1
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.13518
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00153
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00345
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00849
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00889
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.01183
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00038
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00086
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00212
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00222
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00254
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.0167
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",,850.0
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",,1210.0
2007,C,Uganda Communications Commission (UCC).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",,1860.0
2008,C,Uganda Communications Commission (UCC).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December,4798.0
2009,C,Uganda Communications Commission (UCC).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December,6000.0
2010,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December,14000.0
2011,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December,35514.0
2012,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December,38400.0
2013,E,ITU estimate.,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",,41500.0
2014,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December,55198.0
2015,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December,80724.0
2016,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",December ,92115.0
2019,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",,32370.0
2020,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Uganda Communications Commission,"1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ","1.The shifting work culture caused by the COVID-19 pandemic, led many businesses to adopt remote working methods. As some opted for mobile broadband, others opted for fixed broadband.     2. The shift in work cultures and digitisation of small businesses has also coincided with increased customer onboarding and promotional broadband campaigns in 2020 by different MNOs such as Liquid Telecom.  ",58594.0
2009,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,5400.0
2010,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,12600.0
2011,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,31963.0
2012,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,34560.0
2014,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,49896.0
2009,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,480.0
2010,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,1120.0
2011,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,2841.0
2012,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,3072.0
2014,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Uganda Communications Commission,December,December,4366.0
2009,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,Uganda Communications Commission,,,120.0
2010,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,Uganda Communications Commission,,,280.0
2011,C,UCC.,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,Uganda Communications Commission,,,710.0
2012,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,Uganda Communications Commission,,,768.0
2014,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,Uganda Communications Commission,,,936.0
2017,C,Uganda Communications Commission,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,Uganda Communications Commission,,,6876.0
