Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2003,49.1,38,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,43.9
2004,48.6,37.5,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,43.5
2005,48.1,36.9,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,42.9
2006,47.5,36.2,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,42.2
2007,46.8,35.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,41.5
2008,46.3,35,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,40.8
2009,45.6,34.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,40.2
2010,45.1,33.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,39.6
2011,44.7,33.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,39.2
2012,44.6,33.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,39.0
2013,44.5,32.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,38.8
2014,44.5,32.5,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,38.8
2015,44.9,32.2,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,38.8
2016,45.4,31.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,38.8
2017,45.9,31,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,38.8
2018,46.7,30,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,38.8
2019,47.6,29,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,38.9
