Year,SDG Series,Composite breakdown,Unit of measure,COMMENT_OBS,Observation-level footnotes,Value
2005,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,4218316.406
2006,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,4667226.562
2007,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,5680753.906
2008,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,6928750.488
2009,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,7703399.902
2010,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,8768211.914
2011,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,10059601.562
2012,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,11487977.539
2013,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,13027170.898
2014,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,15117535.156
2015,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,16473212.891
2016,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,17635779.297
2017,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,18547044.922
2006,"Hazardous waste exported, (Tonnes) [12.4.2]",,Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2006,"Hazardous waste imported, (Tonnes) [12.4.2]",,Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2006,Hazardous waste treated and by type of treatment (Tonnes) [12.4.2],Waste treatment: Incineration,Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2006,Municipal waste collected (Tonnes) [12.4.2],,Metric Tons,,This data is for about 30 out of 44 municipalities including the Kampala City Council Authority (KCCA).,224238.007
2016,Municipal waste collected (Tonnes) [12.4.2],,Metric Tons,This data is for about 30 out of 44 municipalities including the Kampala City Council Authority (KCCA).,This data is for about 30 out of 44 municipalities including the Kampala City Council Authority (KCCA).,755083.984
2017,Municipal waste collected (Tonnes) [12.4.2],,Metric Tons,This data is for about 30 out of 44 municipalities including the Kampala City Council Authority (KCCA).,This data is for about 30 out of 44 municipalities including the Kampala City Council Authority (KCCA).,776237.0
2006,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Composting,Percent,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2006,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Incineration,Percent,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2006,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Landfilling,Percent,,,100.0
2006,"Municipal waste treated, by type of treatment (%) [12.4.2]","Waste treatment: Landfilling, controlled",Percent,,,100.0
2006,"Total waste generation, by activity (Tonnes) [12.4.2]",,Metric Tons,,,544393.005
