Year,SOURCE_DETAIL,Sex,Education level,Composite breakdown,Source details,Value
2013,NA,Female,Primary education,Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,48.3
2015,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,Female,Primary education,Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,52.1
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,Female,Lower secondary education,Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,33.7
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,Female,Lower secondary education,Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,48.5
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advanced Level,Female,"Some primary education, grades 2 or 3",Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,23.0
2015,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,Female,"Some primary education, grades 2 or 3",Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,20.3
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advanced Level,Female,"Some primary education, grades 2 or 3",Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,23.3
2015,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,Female,"Some primary education, grades 2 or 3",Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,33.8
2013,NA,Male,Primary education,Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,24.8
2015,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,Male,Primary education,Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,56.9
2013,NA,Male,Primary education,Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,53.5
2015,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,Male,Primary education,Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,51.6
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,Male,Lower secondary education,Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,48.7
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,Male,Lower secondary education,Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,49.8
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advanced Level,Male,"Some primary education, grades 2 or 3",Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,23.4
2015,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,Male,"Some primary education, grades 2 or 3",Skill: Mathematics,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,21.9
2014,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advanced Level,Male,"Some primary education, grades 2 or 3",Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,17.3
2015,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,Male,"Some primary education, grades 2 or 3",Skill: Reading,National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,32.5
