Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",153.96698
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",201.71587
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",215.49981
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",279.9726
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",234.12493
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",240.81825
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",291.43126
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",238.19767
2010,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",97.16186
2011,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",104.80922
2012,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",218.01584
2013,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",153.21864
2014,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",200.28678
2015,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",211.72788
2016,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",274.17537
2017,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",229.96934
2018,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",239.35712
2019,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",287.11496
2020,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",234.05037
