Year,COMMENT_OBS,SDG Series,Unit of measure,Observation-level footnotes,BASE_PER,Base period,Value
2003,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,25.1546
2004,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2005,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,125.4516
2006,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,325.6723
2007,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,1074.9471
2008,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,189.9894
2009,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,138.9639
2010,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2011,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2012,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,37.8597
2013,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2014,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2015,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,48.9705
2016,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,68.2159
2017,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,20.1297
2018,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2019,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,87.0
