Year,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Upper bound value,Lower bound value,Source details,Value
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,9448.6,8690.5,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9991.9,9169.8,Food and Agriculture Organization of the United Nations (FAO),9069.5
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,9642.6,8852.4,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9991.9,9169.8,Food and Agriculture Organization of the United Nations (FAO),9247.5
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,9991.9,9169.8,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9991.9,9169.8,Food and Agriculture Organization of the United Nations (FAO),9580.8
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,7018.8,6237.7,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9954.6,8979.3,Food and Agriculture Organization of the United Nations (FAO),6628.3
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,7985.6,7169.7,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9954.6,8979.3,Food and Agriculture Organization of the United Nations (FAO),7577.6
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,8972.1,8118.3,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9954.6,8979.3,Food and Agriculture Organization of the United Nations (FAO),8545.2
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,9350.9,8457.1,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9954.6,8979.3,Food and Agriculture Organization of the United Nations (FAO),8904.0
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,9576.8,8642,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9954.6,8979.3,Food and Agriculture Organization of the United Nations (FAO),9109.4
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,9954.6,8979.3,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9954.6,8979.3,Food and Agriculture Organization of the United Nations (FAO),9466.9
2015,0,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",21,17.4,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",25,21.5,National Entity,19.2
2016,0,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",24,20.5,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",25,21.5,National Entity,22.3
2017,0,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",26.3,22.8,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",25,21.5,National Entity,24.5
2018,0,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",26.2,22.7,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",25,21.5,National Entity,24.4
2019,0,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",25.1,21.5,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",25,21.5,National Entity,23.3
2020,0,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",25,21.5,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",25,21.5,National Entity,23.2
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,39.3,31.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,46.8,39.3,Food and Agriculture Organization of the United Nations (FAO),35.6
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,45,37.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,46.8,39.3,Food and Agriculture Organization of the United Nations (FAO),41.3
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,49.2,41.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,46.8,39.3,Food and Agriculture Organization of the United Nations (FAO),45.4
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,48.9,41.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,46.8,39.3,Food and Agriculture Organization of the United Nations (FAO),45.2
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,46.8,39.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,46.8,39.3,Food and Agriculture Organization of the United Nations (FAO),43.1
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,46.8,39.3,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,46.8,39.3,Food and Agriculture Organization of the United Nations (FAO),43.0
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,43.4,34.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,51.6,42.7,Food and Agriculture Organization of the United Nations (FAO),38.9
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,49.7,40.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,51.6,42.7,Food and Agriculture Organization of the United Nations (FAO),45.2
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,54.3,45.3,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,51.6,42.7,Food and Agriculture Organization of the United Nations (FAO),49.8
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,54,45,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,51.6,42.7,Food and Agriculture Organization of the United Nations (FAO),49.5
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,51.7,42.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,51.6,42.7,Food and Agriculture Organization of the United Nations (FAO),47.2
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,51.6,42.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,51.6,42.7,Food and Agriculture Organization of the United Nations (FAO),47.1
2015,3,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",8023.2,6669.6,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",11431.8,9815,National Entity,7346.4
2016,3,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",9537.6,8133.7,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",11431.8,9815,National Entity,8835.7
2017,3,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",10837.7,9380.8,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",11431.8,9815,National Entity,10109.2
2018,3,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",11190.7,9679.3,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",11431.8,9815,National Entity,10435.0
2019,3,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",11085.9,9520.7,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",11431.8,9815,National Entity,10303.3
2020,3,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",11431.8,9815,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",11431.8,9815,National Entity,10623.4
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,4072.3,3296.6,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,5967.6,5012.7,Food and Agriculture Organization of the United Nations (FAO),3684.4
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,4860.6,4052,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,5967.6,5012.7,Food and Agriculture Organization of the United Nations (FAO),4456.3
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,5544.6,4700.8,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,5967.6,5012.7,Food and Agriculture Organization of the United Nations (FAO),5122.7
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,5755.6,4875.1,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,5967.6,5012.7,Food and Agriculture Organization of the United Nations (FAO),5315.4
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,5744.6,4826.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,5967.6,5012.7,Food and Agriculture Organization of the United Nations (FAO),5285.7
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,5967.6,5012.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,5967.6,5012.7,Food and Agriculture Organization of the United Nations (FAO),5490.2
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,4146,3289.6,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,6154.2,5084.7,Food and Agriculture Organization of the United Nations (FAO),3717.8
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,4954.2,4059.5,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,6154.2,5084.7,Food and Agriculture Organization of the United Nations (FAO),4506.9
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,5662.2,4725.9,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,6154.2,5084.7,Food and Agriculture Organization of the United Nations (FAO),5194.1
2018,3,G,The observation represents the 3-year average of the period 2017-2019.,5894.7,4914.6,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,6154.2,5084.7,Food and Agriculture Organization of the United Nations (FAO),5404.6
2019,3,G,The observation represents the 3-year average of the period 2018-2020.,5905.8,4880.8,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,6154.2,5084.7,Food and Agriculture Organization of the United Nations (FAO),5393.3
2020,3,G,The observation represents the 3-year average of the period 2019-2021.,6154.2,5084.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,6154.2,5084.7,Food and Agriculture Organization of the United Nations (FAO),5619.4
