Year,SDG Series,Type of product,COMMENT_OBS,Observation-level footnotes,Value
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,19.65474
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,15.18393
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,16.56257
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,17.08745
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,14.24038
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,14.24038
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,18.01118
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,,,19.91265
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,9.3997
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,8.49088
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,8.11793
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,7.91335
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,8.54138
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,8.08501
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,7.6902
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",,,,8.50442
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,14.8252
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,19.88891
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,23.68783
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,19.64394
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,21.73856
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,19.55537
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,19.32309
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,,,14.7894
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,7.81232
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,20.37514
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,18.47345
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,13.90977
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,10.86449
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,10.86449
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,1.52932
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,,,0.5643
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,23.20065
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,23.38445
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,22.81396
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,22.77301
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,23.72224
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,23.72224
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,23.92539
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,,,23.03128
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,8.06105
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,6.39364
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,5.48408
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,5.78371
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,5.75354
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,5.60834
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,5.66377
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,,,7.28502
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,15.97099
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,13.34892
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,13.77475
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,14.1456
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,12.70601
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,12.70601
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,15.15908
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,,,17.70539
