Year,COMMENT_OBS,Sex,Occupation,Value
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,,1329.11
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,,1649.16
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Armed forces occupations,1057.69
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Managers,943.88
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Managers,3124.97
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Professionals,2970.71
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Professionals,2735.3
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Technicians and associate professionals,1986.36
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Technicians and associate professionals,3433.23
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Clerical support workers,1187.56
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Clerical support workers,2130.09
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Service and sales workers,742.18
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Service and sales workers,1242.91
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,"Skilled agricultural, forestry and fishery workers",1284.27
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,"Skilled agricultural, forestry and fishery workers",1103.25
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Craft and related trades workers,1018.03
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Craft and related trades workers,1057.16
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,"Plant and machine operators, and assemblers",955.88
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,"Plant and machine operators, and assemblers",1125.19
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Elementary occupations,987.46
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Female,Elementary occupations,726.6
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,,1813.74
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,,2377.65
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Armed forces occupations,1953.99
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Armed forces occupations,1785.49
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Managers,5214.38
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Managers,5408.71
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Professionals,2856.62
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Professionals,5503.99
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Technicians and associate professionals,2397.1
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Technicians and associate professionals,2929.58
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Clerical support workers,3466.59
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Clerical support workers,1941.75
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Service and sales workers,1152.45
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Service and sales workers,1225.66
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,"Skilled agricultural, forestry and fishery workers",1681.84
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,"Skilled agricultural, forestry and fishery workers",600.64
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Craft and related trades workers,2236.21
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Craft and related trades workers,2016.11
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,"Plant and machine operators, and assemblers",1850.74
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,"Plant and machine operators, and assemblers",1852.61
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Elementary occupations,1158.53
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,Male,Elementary occupations,1186.53
