Year,SDG Series,Type of product,Value
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.89039
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.86427
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.88088
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.87284
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.86929
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,3.39281
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,3.39441
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,3.39204
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,3.39896
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,12.05466
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.73268
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.42023
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.40628
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.38854
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.37557
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.36949
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.36856
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.37136
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.33001
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.37217
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.36114
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.33523
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.40475
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.16408
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.76821
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.76794
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.75487
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.75321
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.7609
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.75247
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.73997
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.72265
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.72246
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.72246
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.72246
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,2.13395
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.85032
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.33403
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.33403
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.2733
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.26856
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.26856
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.26835
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.24202
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.24086
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.24086
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.24086
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.24086
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,6.12545
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00014
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00015
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00014
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00014
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,0.00014
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.53056
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.45544
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.25841
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.25803
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.16611
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.16728
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.18571
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.16613
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.16616
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.11556
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.11498
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.11498
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.11498
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,6.90427
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.10736
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.06202
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.0504
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.04858
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.04858
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.04858
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.0558
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.05237
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.01429
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.05444
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.05522
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,5.05522
