Year,SOURCE_DETAIL,Sex,Education level,Source details,Value
2012,Education Statistical Abstract 2012 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2012.pdf); Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,96.29705
2013,Education Statistical Abstract 2013 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2013.pdf); Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,86.77357
2014,Education Statistical Abstract 2014 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2014.pdf); Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,86.0144
2015,Education Statistical Abstract 2015 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2015.pdf); Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,79.02896
2016,Education Abstract 2016 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2016.pdf); Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,93.05835
2017,Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,85.63193
2017,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Pre-primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,63.97469
2012,Education Statistical Abstract 2012 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2012.pdf); Data extracted on 01 April 2022.,Female,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,97.08521
2013,Education Statistical Abstract 2013 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2013.pdf); Data extracted on 01 April 2022.,Female,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,76.13384
2014,Education Statistical Abstract 2014 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2014.pdf); Data extracted on 01 April 2022.,Female,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,74.90275
2015,Education Statistical Abstract 2015 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2015.pdf); Data extracted on 01 April 2022.,Female,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,70.76509
2016,Education Abstract 2016 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2016.pdf); Data extracted on 01 April 2022.,Female,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,71.17723
2017,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,79.3997
2010,Education Statistical Abstract 2010 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2010.pdf); Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,88.35334
2012,Education Statistical Abstract 2012 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2012.pdf); Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,95.25102
2013,Education Statistical Abstract 2013 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2013.pdf); Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,85.79711
2014,Education Statistical Abstract 2014 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2014.pdf); Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,84.21139
2015,Education Statistical Abstract 2015 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2015.pdf); Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,77.63155
2016,Education Abstract 2016 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2016.pdf); Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,95.17544
2017,Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,Male,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,83.5044
2017,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Pre-primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,34.94709
2012,Education Statistical Abstract 2012 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2012.pdf); Data extracted on 01 April 2022.,Male,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,98.05624
2013,Education Statistical Abstract 2013 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2013.pdf); Data extracted on 01 April 2022.,Male,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,76.73845
2014,Education Statistical Abstract 2014 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2014.pdf); Data extracted on 01 April 2022.,Male,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,75.39543
2015,Education Statistical Abstract 2015 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2015.pdf); Data extracted on 01 April 2022.,Male,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,72.01579
2016,Education Abstract 2016 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2016.pdf); Data extracted on 01 April 2022.,Male,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,71.40962
2017,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Male,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,79.72657
