Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Disability status,Value
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,6.7
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,4.8
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old | Nonstandard age group: Including age 14,Source: HIES - National Household Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,2.0
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,13.8
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",,,,10.1
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",,,Persons with disability,9.3
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",,,Persons without disability,10.3
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Female,,,11.9
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Female,,Persons with disability,10.1
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Female,,Persons without disability,12.4
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Male,,,8.7
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Male,,Persons with disability,8.6
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Male,,Persons without disability,8.7
