Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2009,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2010,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2011,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2012,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2013,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2014,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2015,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2016,"Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",7
2017,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2018,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
2019,"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],"Obs_Value = 0;  Uganda has not yet fully completed the development of its Tourism Satellite Accounts. The 2018 draft Report was the first of its kind and lacked credible data on Domestic Tourism (Table 2). However, there are now steps to undertake the second series of Surveys to develop another set of TSA given that a number of surveys have have been concluded.
Uganda is developing Experimental SEEA that includes the Biodiversity Accounts for Tourism. The draft Reports of the SEEA should be ready in the next 6 months",0
