Year,SDG Series,Sex,Age,Unit of measure,Value
2012,Infant deaths (number) [3.2.1],,under 1 year old,Number,65503.0
2013,Infant deaths (number) [3.2.1],,under 1 year old,Number,63817.0
2014,Infant deaths (number) [3.2.1],,under 1 year old,Number,61952.0
2015,Infant deaths (number) [3.2.1],,under 1 year old,Number,60216.0
2016,Infant deaths (number) [3.2.1],,under 1 year old,Number,58386.0
2017,Infant deaths (number) [3.2.1],,under 1 year old,Number,56644.0
2018,Infant deaths (number) [3.2.1],,under 1 year old,Number,54884.0
2019,Infant deaths (number) [3.2.1],,under 1 year old,Number,53779.0
2020,Infant deaths (number) [3.2.1],,under 1 year old,Number,52585.0
2000,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,44061.0
2001,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,43261.0
2002,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,42133.0
2003,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,40707.0
2004,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,39096.0
2005,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,37539.0
2006,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,36082.0
2007,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,34686.0
2008,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,33365.0
2009,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,32538.0
2010,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,31455.0
2011,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,30393.0
2012,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,29062.0
2013,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,28265.0
2014,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,27422.0
2015,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,26642.0
2016,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,25788.0
2017,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,24999.0
2018,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,24193.0
2019,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,23690.0
2020,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,23135.0
2000,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,53739.0
2001,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,52821.0
2002,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,51524.0
2003,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,49922.0
2004,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,48099.0
2005,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,46267.0
2006,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,44527.0
2007,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,42924.0
2008,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,41439.0
2009,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,40478.0
2010,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,39216.0
2011,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,38004.0
2012,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,36441.0
2013,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,35552.0
2014,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,34530.0
2015,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,33574.0
2016,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,32598.0
2017,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,31645.0
2018,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,30691.0
2019,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,30089.0
2020,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,29450.0
2000,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",146.1
2001,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",139.3
2002,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",131.6
2003,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",123.5
2004,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",115.1
2005,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",107.1
2006,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",99.6
2007,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",92.8
2008,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",86.8
2009,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",81.5
2010,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",76.3
2011,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",71.6
2012,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",66.7
2013,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",62.3
2014,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",58.8
2015,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",55.7
2016,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",52.4
2017,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",49.9
2018,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",47.4
2019,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",45.3
2020,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",43.3
2000,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",134.7
2001,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",128.3
2002,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",121.1
2003,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",113.5
2004,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",105.7
2005,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",98.2
2006,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",91.2
2007,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",85.0
2008,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",79.3
2009,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",74.3
2010,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",69.5
2011,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",65.1
2012,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",60.4
2013,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",56.3
2014,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",53.0
2015,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",50.1
2016,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",47.1
2017,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",44.7
2018,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",42.5
2019,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",40.5
2020,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",38.7
2000,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",157.0
2001,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",149.6
2002,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",141.5
2003,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",132.9
2004,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",124.0
2005,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",115.5
2006,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",107.6
2007,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",100.4
2008,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",93.9
2009,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",88.3
2010,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",82.8
2011,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",77.8
2012,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",72.6
2013,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",68.0
2014,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",64.3
2015,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",61.0
2016,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",57.6
2017,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",54.8
2018,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",52.2
2019,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",49.9
2020,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",47.8
2000,Under-five deaths (number) [3.2.1],,under 5 years old,Number,160326.0
2001,Under-five deaths (number) [3.2.1],,under 5 years old,Number,156733.0
2002,Under-five deaths (number) [3.2.1],,under 5 years old,Number,151889.0
2003,Under-five deaths (number) [3.2.1],,under 5 years old,Number,146184.0
2004,Under-five deaths (number) [3.2.1],,under 5 years old,Number,139817.0
2005,Under-five deaths (number) [3.2.1],,under 5 years old,Number,133396.0
2006,Under-five deaths (number) [3.2.1],,under 5 years old,Number,127236.0
2007,Under-five deaths (number) [3.2.1],,under 5 years old,Number,121614.0
2008,Under-five deaths (number) [3.2.1],,under 5 years old,Number,116411.0
2009,Under-five deaths (number) [3.2.1],,under 5 years old,Number,111951.0
2010,Under-five deaths (number) [3.2.1],,under 5 years old,Number,107047.0
2011,Under-five deaths (number) [3.2.1],,under 5 years old,Number,102520.0
2012,Under-five deaths (number) [3.2.1],,under 5 years old,Number,97227.0
2013,Under-five deaths (number) [3.2.1],,under 5 years old,Number,92476.0
2014,Under-five deaths (number) [3.2.1],,under 5 years old,Number,88652.0
2015,Under-five deaths (number) [3.2.1],,under 5 years old,Number,85225.0
2016,Under-five deaths (number) [3.2.1],,under 5 years old,Number,81382.0
2017,Under-five deaths (number) [3.2.1],,under 5 years old,Number,78476.0
2018,Under-five deaths (number) [3.2.1],,under 5 years old,Number,75588.0
2019,Under-five deaths (number) [3.2.1],,under 5 years old,Number,73220.0
2020,Under-five deaths (number) [3.2.1],,under 5 years old,Number,70916.0
2000,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,72897.0
2001,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,71251.0
2002,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,68987.0
2003,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,66301.0
2004,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,63347.0
2005,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,60361.0
2006,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,57498.0
2007,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,54896.0
2008,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,52451.0
2009,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,50362.0
2010,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,48096.0
2011,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,45964.0
2012,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,43470.0
2013,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,41239.0
2014,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,39444.0
2015,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,37855.0
2016,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,36036.0
2017,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,34726.0
2018,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,33402.0
2019,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,32310.0
2020,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,31217.0
2000,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,87429.0
2001,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,85482.0
2002,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,82902.0
2003,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,79883.0
2004,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,76470.0
2005,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,73035.0
2006,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,69738.0
2007,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,66718.0
2008,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,63960.0
2009,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,61589.0
2010,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,58951.0
2011,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,56556.0
2012,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,53757.0
2013,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,51237.0
2014,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,49208.0
2015,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,47370.0
2016,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,45346.0
2017,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,43750.0
2018,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,42186.0
2019,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,40910.0
2020,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,39699.0
