Year,SOURCE_DETAIL,SDG Series,Unit of measure,Observation status,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2013,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.185
2014,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.18
2015,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.162
2016,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.17
2017,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.208
2018,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.148
2019,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Consolidated General Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.168
2001,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.02
2002,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.17
2003,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.17
2004,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,2.39
2005,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.06
2006,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.35
2007,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.98
2008,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.57
2009,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.83
2010,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.77
2011,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.62
2012,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.44
2013,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.64
2014,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.5
2015,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.85
2016,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.99
2017,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,5.2
2018,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.25
2019,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Consolidated General Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.48
