Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2017,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2018,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2019,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2019 ","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2020,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2021,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.5291
2000,IFC 2000 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.57471
2005,IFC 2005 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.5618
2010,IFC 2010 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54945
2015,IFC 2015 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2016,IFC 2016 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2017,IFC 2017 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2018,IFC 2018 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54348
2019,IFC 2019 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.5435
2020,IFC 2020 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54054
2021,IFC 2021 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.54054
2000,IMF Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5618
2005,IMF Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.55249
2010,IMF Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.54945
2015,IMF Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.53191
2016,IMF Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.53191
2017,IMF Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2018,IMF Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2019,IMF Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2020,IMF Annual Report 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.5291
2021,IMF Annual Report 2021,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.52632
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52356
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52083
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2020,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2021,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2010,Report of the Security Council (A/65/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Report of the Security Council (A/65/2),6.66667
2000,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.71429
2005,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.67114
2010,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.65359
2015,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.625
2016,WTO Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.61728
2017,WTO Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2018,WTO Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2019,WTO Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2020,WTO Annual Report 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2021,WTO Annual Report 2021,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2000,African Development Bank Group Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.607
2005,African Development Bank Group Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.527
2010,African Development Bank Group Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.516
2014,African Development Bank Group Annual Report 2014,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.51
2015,African Development Bank Group Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.48
2016,African Development Bank Group Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.4555
2017,African Development Bank Group Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.4555
2018,African Development Bank Group Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.4429
2019,African Development Bank Group Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,0.42314
2015,Report of the Economic and Social Council for 2015 (A/70/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2017 Session (A/72/3),1.8519
2016,Report of the Economic and Social Council on its 2016 Session (A/71/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2017 Session (A/72/3),1.8519
2017,Report of the Economic and Social Council on its 2017 Session (A/72/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2017 Session (A/72/3),1.85185185185185
2000,The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.0539
2005,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.0536
2010,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.0535
2015,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.0573
2016,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.06
2017,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.0687
2018,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.0679
2019,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2019 ","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.0672
2020,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.06607
2021,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.06942
2000,IFC 2000 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.041
2005,IFC 2005 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.0409
2010,IFC 2010 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.0408
2015,IFC 2015 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.05723
2016,IFC 2016 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.05723
2017,IFC 2017 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.05723
2018,IFC 2018 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.0572
2019,IFC 2019 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.0567
2020,IFC 2020 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.05705
2021,IFC 2021 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2021 Annual Report Volume 2,0.05532
2000,IMF Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.096
2005,IMF Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0945
2010,IMF Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.0928
2015,IMF Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.1009
2016,IMF Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.101
2017,IMF Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.1009
2018,IMF Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.1009
2019,IMF Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.10086
2020,IMF Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.10083
2021,IMF Annual Report 2021,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2021,0.10058
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5236
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5208
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2020,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2021,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2010,Report of the Security Council (A/65/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Report of the Security Council (A/65/2),6.6667
2000,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.7143
2005,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6711
2010,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6536
2015,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.625
2016,WTO Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6173
2017,WTO Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6098
2018,WTO Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6098
2019,WTO Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.6098
2020,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
2021,WTO Annual Report 2021,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2021,0.60976
