Value,Disaggregation combinations using this value,Number of indicators
National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),4,1
National Entity,24,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance Data extracted on 01 April 2022.,4,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,12,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level Data extracted on 01 April 2022.,2,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,12,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level Data extracted on 01 April 2022.,2,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,6,1
"Poverty and Inequality Portal, World Bank",10,1
Ramsar National Report COP14,1,1
Report of the Economic and Social Council on its 2017 Session (A/72/3),12,2
Report of the Security Council (A/65/2),4,2
Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),8,1
"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",18,1
"Source: Joint Child Malnutrition Estimates (2021 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",41,1
the International Transport Forum at the OECD (ITF-OECD),5,1
Uganda 2018-2019 Malaria Indicators Survey,6,1
Uganda 2019 PMA2020 Round 6 Follow-up,11,1
Uganda Communications Commission,14,1
"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",14,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,75,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,15,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,339,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,42,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,9,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,447,1
UN General Assembly website http://www.un.org/en/member-states/index.html,4,2
UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,24,2
UNODC Research,8,1
UNSD/UNEP Questionnaire on Environment Statistics,2,1
"World Bank, International Debt Statistics.",1,1
"World Bank national accounts data, and OECD National Accounts data files.",6,1
World Environment Situation Room,1,1
"World Trade Organization, and World Bank GDP estimates.",1,1
WTO Annual Report 2021,28,2
