Value,Disaggregation combinations using this value,Number of indicators
UGA - HIES - National Household Survey,3,1
UGA - LFS - National Labour Force Survey,3,1
Uganda 2000-2001 Demographic and Health Survey,1,1
Uganda 2006 Demographic and Health Survey,3,2
Uganda 2009 Malaria Indicators Survey,3,1
Uganda 2011 Demographic and Health Survey,3,2
Uganda 2014-2015 Malaria Indicators Survey,2,1
Uganda 2014 PMA Round 1,1,1
Uganda 2014 PMA2020 Round 1,1,1
Uganda 2015 PMA2020 Round 3,1,1
Uganda 2016 Demographic and Health Survey (DHS),1,1
Uganda 2016 Demographic and Health Survey,3,2
Uganda 2017 PMA2020 Round 5,1,1
Uganda 2018-2019 Malaria Indicators Survey,3,1
Uganda 2018 PMA2020 Round 6,1,1
Uganda 2019 PMA2020 Round 6 Follow-up,1,1
"Uganda Bureau of Statistics (UBOS), ICF International. Uganda Demographic and Health Survey 2011. Kampala, Uganda: UBOS, ICF International; 2012.",1,1
"Uganda Bureau of Statistics (UBOS), ICF. Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS, ICF; 2018.",1,1
"Uganda Bureau of Statistics (UBOS), Macro International Inc. Uganda Demographic and Health Survey 2006. Calverton, Maryland, USA: UBOS, Macro International Inc.; 2007.",1,1
"Uganda Bureau of Statistics (UBOS), ORC Macro. Uganda Demographic and Health Survey 2000-2001. Calverton, Maryland, USA: UBOS, ORC Macro; 2001.",1,1
Uganda Bureau of Statistics,1,1
Uganda Communications Commission (UCC).,5,3
Uganda Communications Commission,16,2
"Uganda demographic and health survey 2000-2001. Demographic and Health Surveys. Calverton, Maryland, USA: UBOS and ORC Macro, 2001",2,1
"Uganda demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: UBOS and Macro International Inc., 2007",2,1
"Uganda demographic and health survey 2011. Demographic and Health Surveys. Kampala, Uganda: UBOS and Calverton, Maryland: ICF International Inc., 2012",2,1
"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",2,1
"Uganda DHS 2001. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",21,2
Uganda DHS 2006. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,3,1
Uganda DHS 2006. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,54,1
Uganda DHS 2006. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,78,1
Uganda DHS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,3,1
Uganda DHS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,33,1
Uganda DHS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,126,1
Uganda DHS 2011. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,15,1
Uganda DHS 2011. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,37,1
Uganda DHS 2011. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,83,1
Uganda DHS 2011. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,10,1
Uganda DHS 2011. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,20,1
Uganda DHS 2011. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,132,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,25,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,5,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,105,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,14,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,3,1
Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,145,1
Uganda - National Household Survey 2002-2003- World Bank SHES serie,2,1
Uganda - National Household Survey 2005-2006- World Bank SHES serie,2,1
Uganda - National Household Survey 2009-2010- World Bank SHES serie,2,1
Uganda - National Household Survey 2012-2013,2,1
Uganda National Household Survey 2016,2,1
Uganda National Household Survey (UNHS) 1999/2000 - Report on the Socio-Economic. Entebbe: Uganda Bureau of Statistics; 2001.,1,1
"Uganda National Panel Survey (UNPS) - Wave III. Kampala, Uganda: UBOS, 2013",2,1
"Uganda Population and Housing Census 2002. IPUMS-International, Uganda Bureau of Statistics.; Data extracted on 01 April 2022.",27,1
"Uganda Population and Housing Census 2002. IPUMS-Intertiol, Uganda Bureau of Statistics.; Data extracted on 01 April 2022.",18,1
UN General Assembly website http://www.un.org/en/member-states/index.html,4,2
UNESCO Institute for Statistics; Data extracted on 01 April 2022.,2,1
UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,9,2
UNODC Research,2,1
UNSD/UNEP Questionnaire on Environment Statistics,2,1
"World Bank, International Debt Statistics.",1,1
"World Bank national accounts data, and OECD National Accounts data files.",6,1
World Environment Situation Room,1,1
"World Trade Organization, and World Bank GDP estimates.",1,1
WTO Annual Report 2015,4,2
WTO Annual Report 2016,4,2
WTO Annual Report 2017,4,2
WTO Annual Report 2018,4,2
WTO Annual Report 2019,4,2
WTO Annual Report 2020,4,2
WTO Annual Report 2021,4,2
