Year,SDG Series,Degree of urbanisation,Value
2018,Proportion of population using basic drinking water services [1.4.1],Rural,45
2019,Proportion of population using basic drinking water services [1.4.1],Rural,46
2020,Proportion of population using basic drinking water services [1.4.1],Rural,48
2000,Proportion of population using basic drinking water services [1.4.1],Urban,70
2001,Proportion of population using basic drinking water services [1.4.1],Urban,70
2002,Proportion of population using basic drinking water services [1.4.1],Urban,71
2003,Proportion of population using basic drinking water services [1.4.1],Urban,71
2004,Proportion of population using basic drinking water services [1.4.1],Urban,72
2005,Proportion of population using basic drinking water services [1.4.1],Urban,72
2006,Proportion of population using basic drinking water services [1.4.1],Urban,73
2007,Proportion of population using basic drinking water services [1.4.1],Urban,73
2008,Proportion of population using basic drinking water services [1.4.1],Urban,73
2009,Proportion of population using basic drinking water services [1.4.1],Urban,74
2010,Proportion of population using basic drinking water services [1.4.1],Urban,74
2011,Proportion of population using basic drinking water services [1.4.1],Urban,75
2012,Proportion of population using basic drinking water services [1.4.1],Urban,75
2013,Proportion of population using basic drinking water services [1.4.1],Urban,76
2014,Proportion of population using basic drinking water services [1.4.1],Urban,76
2015,Proportion of population using basic drinking water services [1.4.1],Urban,77
2016,Proportion of population using basic drinking water services [1.4.1],Urban,77
2017,Proportion of population using basic drinking water services [1.4.1],Urban,77
2018,Proportion of population using basic drinking water services [1.4.1],Urban,78
2019,Proportion of population using basic drinking water services [1.4.1],Urban,78
2020,Proportion of population using basic drinking water services [1.4.1],Urban,79
2000,Proportion of population using basic sanitation services [1.4.1],,17
2001,Proportion of population using basic sanitation services [1.4.1],,17
2002,Proportion of population using basic sanitation services [1.4.1],,17
2003,Proportion of population using basic sanitation services [1.4.1],,17
2004,Proportion of population using basic sanitation services [1.4.1],,17
2005,Proportion of population using basic sanitation services [1.4.1],,18
2006,Proportion of population using basic sanitation services [1.4.1],,18
2007,Proportion of population using basic sanitation services [1.4.1],,18
2008,Proportion of population using basic sanitation services [1.4.1],,18
2009,Proportion of population using basic sanitation services [1.4.1],,18
2010,Proportion of population using basic sanitation services [1.4.1],,18
2011,Proportion of population using basic sanitation services [1.4.1],,19
2012,Proportion of population using basic sanitation services [1.4.1],,19
2013,Proportion of population using basic sanitation services [1.4.1],,19
2014,Proportion of population using basic sanitation services [1.4.1],,19
2015,Proportion of population using basic sanitation services [1.4.1],,19
2016,Proportion of population using basic sanitation services [1.4.1],,19
2017,Proportion of population using basic sanitation services [1.4.1],,19
2018,Proportion of population using basic sanitation services [1.4.1],,20
2019,Proportion of population using basic sanitation services [1.4.1],,20
2020,Proportion of population using basic sanitation services [1.4.1],,20
2000,Proportion of population using basic sanitation services [1.4.1],Rural,15
2001,Proportion of population using basic sanitation services [1.4.1],Rural,15
2002,Proportion of population using basic sanitation services [1.4.1],Rural,15
2003,Proportion of population using basic sanitation services [1.4.1],Rural,15
2004,Proportion of population using basic sanitation services [1.4.1],Rural,15
2005,Proportion of population using basic sanitation services [1.4.1],Rural,15
2006,Proportion of population using basic sanitation services [1.4.1],Rural,15
2007,Proportion of population using basic sanitation services [1.4.1],Rural,16
2008,Proportion of population using basic sanitation services [1.4.1],Rural,16
2009,Proportion of population using basic sanitation services [1.4.1],Rural,16
2010,Proportion of population using basic sanitation services [1.4.1],Rural,16
2011,Proportion of population using basic sanitation services [1.4.1],Rural,16
2012,Proportion of population using basic sanitation services [1.4.1],Rural,16
2013,Proportion of population using basic sanitation services [1.4.1],Rural,16
2014,Proportion of population using basic sanitation services [1.4.1],Rural,16
2015,Proportion of population using basic sanitation services [1.4.1],Rural,17
2016,Proportion of population using basic sanitation services [1.4.1],Rural,17
2017,Proportion of population using basic sanitation services [1.4.1],Rural,17
2018,Proportion of population using basic sanitation services [1.4.1],Rural,17
2019,Proportion of population using basic sanitation services [1.4.1],Rural,17
2020,Proportion of population using basic sanitation services [1.4.1],Rural,17
2000,Proportion of population using basic sanitation services [1.4.1],Urban,29
2001,Proportion of population using basic sanitation services [1.4.1],Urban,29
2002,Proportion of population using basic sanitation services [1.4.1],Urban,29
2003,Proportion of population using basic sanitation services [1.4.1],Urban,29
2004,Proportion of population using basic sanitation services [1.4.1],Urban,29
2005,Proportion of population using basic sanitation services [1.4.1],Urban,29
2006,Proportion of population using basic sanitation services [1.4.1],Urban,29
2007,Proportion of population using basic sanitation services [1.4.1],Urban,29
2008,Proportion of population using basic sanitation services [1.4.1],Urban,29
2009,Proportion of population using basic sanitation services [1.4.1],Urban,28
2010,Proportion of population using basic sanitation services [1.4.1],Urban,28
2011,Proportion of population using basic sanitation services [1.4.1],Urban,28
2012,Proportion of population using basic sanitation services [1.4.1],Urban,28
2013,Proportion of population using basic sanitation services [1.4.1],Urban,28
2014,Proportion of population using basic sanitation services [1.4.1],Urban,28
2015,Proportion of population using basic sanitation services [1.4.1],Urban,28
2016,Proportion of population using basic sanitation services [1.4.1],Urban,28
2017,Proportion of population using basic sanitation services [1.4.1],Urban,28
2018,Proportion of population using basic sanitation services [1.4.1],Urban,28
2019,Proportion of population using basic sanitation services [1.4.1],Urban,28
2020,Proportion of population using basic sanitation services [1.4.1],Urban,28
